Latitude,Longitude,Elevation,Elevation_bestfit,Canopy,std,Easting,Northing,Brightness_Flag,Snow_Flag,ReferenceElevation,VerticalErrors,season,date,Elevation_Coregistered,differences,slope,aspect
43.22622,-116.7,NaN,1392.526,39.48401,3.402823e+38,524363.39975,4785980.00025,0,1,1409.97814941406,NaN,4,2018.90410958904,NaN,NaN,17.6044787895542,245.529851696764
43.22712,-116.7001,NaN,1383.592,37.64185,3.402823e+38,524354.09975,4786080.00025,0,1,1398.10974121094,NaN,4,2018.90410958904,NaN,NaN,18.7019683048192,286.741216856294
43.22802,-116.7002,NaN,1400.48,27.00012,3.402823e+38,524343.79975,4786180.00025,0,1,1411.94641113281,NaN,4,2018.90410958904,NaN,NaN,16.916459916172,284.833492590528
43.22892,-116.7003,1401.054,1401.347,18.35254,3.977648,524333.39975,4786279.00025,0,1,1403.50122070312,-2.44722070312491,4,2018.90410958904,1401.83050878906,-1.67071191405989,14.2931114173488,228.522287116842
43.22982,-116.7005,NaN,1384.808,23.51624,3.402823e+38,524324.19975,4786378.00025,0,1,1392.48071289062,NaN,4,2018.90410958904,NaN,NaN,16.1313744869389,267.279537616962
43.23251,-116.7008,NaN,1340.962,32.0957,3.402823e+38,524295.39975,4786678.00025,0,1,1366.08801269531,NaN,4,2018.90410958904,NaN,NaN,7.26644666824977,197.869089379932
43.23341,-116.7009,NaN,1334.672,39.42004,3.402823e+38,524285.09975,4786778.00025,0,1,1356.76623535156,NaN,4,2018.90410958904,NaN,NaN,11.1646084637105,250.066368359868
43.23431,-116.701,NaN,1346.958,33.83545,3.402823e+38,524274.79975,4786878.00025,0,1,1362.85717773438,NaN,4,2018.90410958904,NaN,NaN,13.9857873999688,267.212936944445
43.2379,-116.7015,NaN,1339.137,41.19092,3.402823e+38,524235.59975,4787276.00025,0,1,1360.13635253906,NaN,4,2018.90410958904,NaN,NaN,14.2550273757263,270.965603154229
43.2388,-116.7016,1331.896,1331.462,45.5813,1.807528,524226.39975,4787376.00025,0,1,1353.69152832031,-21.7955283203125,4,2018.90410958904,1332.67250878906,-21.01901953125,15.9058005046905,242.436039291595
43.23969,-116.7017,NaN,1324.532,42.71069,3.402823e+38,524217.09975,4787476.00025,0,1,1346.28747558594,NaN,4,2018.90410958904,NaN,NaN,19.4708214187845,257.980814022838
43.24059,-116.7019,NaN,1315.276,42.33447,3.402823e+38,524206.79975,4787575.00025,0,1,1336.68981933594,NaN,4,2018.90410958904,NaN,NaN,19.2091355714117,266.942828085974
